Amaxa-Impact/amaxa	team	workos	3	2026-04-05	main	apps/platform/playwright.config.ts,
NubiaGessi/cypress-realworld-app	team	auth0	0	2025-03-24	main	cypress.config.ts,
matthewharwood/snapmatch	team	firebase	0	2026-07-27	main	apps/web/playwright.config.ts,turbo/generators/templates/app/playwright.config.ts,
descope-sample-apps/next-js-sample-app	vendor	descope	39	2026-08-14	main	cypress.config.ts,
Segraj27/pasteleria-bizcocho-nextjs-supabase	team	supabase	0	2026-06-04	main	cypress.config.ts,
Vectreal/vectreal-platform	team	supabase	24	2026-08-14	main	packages/viewer-e2e/playwright.config.ts,
Dams971/NOVA	team	supabase	0	2025-08-18	master	playwright.config.ts,
sanspoof/SuperScale	team	supabase	0	2025-09-11	main	cypress.config.js,
LQ458/LawAI	team	auth0	2	2026-07-23	main	e2e/playwright.config.ts,
LitterPic/litterpic_org	team	firebase	0	2026-07-05	master	playwright.config.js,
kurosawa-kuro/enviroment	team	clerk	0	2026-05-31	master	starter-kit/optional/ts-hono-api/backend/playwright.config.ts,starter-kit/starters/frontend/admin-pico/src/playwright.config.js,starter-kit/starters/rust/api-axum-fullstack/e2e/playwright.config.ts,
tindevelopers/equipmentbalkans	team	workos	0	2026-08-08	main	apps/auction/playwright.config.ts,apps/website/playwright.config.ts,smoke/playwright.config.ts,
Daryl-03/clean-url-shortener-ui	team	kinde	0	2026-03-14	main	playwright.config.ts,
MikeDev75015/mikeonline-cv	team	firebase	0	2026-03-07	develop	cypress.json,
solana-foundation/solana-developer-platform	team	clerk	46	2026-08-16	main	apps/sdp-web/playwright.config.ts,
GetClaimClam/Take-Home	team	auth0	0	2025-05-13	main	playwright.config.ts,
Challenge-Guy/Next-Authenrization	team	auth0	0	2025-11-21	main	cypress.config.js,
iagotm/qa-curso-praticas	team	auth0	0	2025-06-17	main	cypress.config.ts,
dandyson/waygenie	team	auth0	0	2026-07-07	main	frontend/cypress.config.js,
psdewar/portfolio	team	supabase	0	2026-08-11	main	playwright.config.ts,
NeuronaXSAS/MiAurora.App	team	workos	1	2026-03-21	main	aurora-app/playwright.config.ts,
ai-creators/ai-mad-lib-generator	team	clerk	2	2026-06-10	main	cypress.config.ts,
sanir321/hackerr	team	workos	1	2026-07-16	main	playwright.config.ts,
DigoB/cypress-real-world-app	team	auth0	0	2026-07-07	main	cypress.config.ts,
rickarm/checkout	team	clerk	1	2026-08-03	main	playwright.config.js,
Azaameth/jdr-app	team	firebase	1	2026-07-21	main	playwright.config.ts,
tdiorio2323/my-creator-landing	team	supertokens	0	2025-11-07	main	playwright.config.ts,
benguo-dev/nextjs-boilerplate-personal-website	team	clerk	2	2025-04-09	main	playwright.config.ts,
dotku/x-post-scheduler	team	auth0	0	2026-06-15	main	playwright.config.ts,
aliaksei-lyzo/github-copilot-workshop	team	auth0	0	2025-12-04	main	cypress.config.ts,playwright.config.ts,
