chrizzy-x/Agent-OS	team	supabase	0	2026-08-15	main	playwright.config.ts,
ariakit/ariakit	team	clerk	8596	2026-08-15	main	app/playwright.config.ts,website/playwright.config.ts,
arii/tech-dancer	team	firebase	0	2026-08-16	main	playwright.config.ts,
aravinth081/sabi-returns-gift	team	firebase	0	2026-08-08	main	playwright.config.ts,
om-raheja/SDx	team	workos	0	2026-05-19	main	playwright.config.ts,
codeabode101/robocode	team	workos	0	2026-08-09	main	playwright.config.ts,
Karthikkk-24/CareConnect	team	clerk	0	2026-08-15	main	apps/web/playwright.config.ts,
leoogomez7/digital-commerce-hub-main	team	kinde	0	2026-07-21	main	playwright.config.ts,
johnpolacek/vibecode-party-starter	team	clerk	3	2025-05-27	main	starter/playwright.config.ts,
neo4j/neo4j-browser	team	firebase	831	2026-08-06	master	cypress.json,
Hive-Academy/ptah-extension	team	workos	29	2026-08-12	main	apps/ptah-electron-e2e/playwright.config.ts,libs/frontend/webview-e2e-harness/playwright.config.ts,
kpunith8/learn-math-tables	team	kinde	0	2026-08-15	main	playwright.config.ts,
RUSTYBM7/shipnow-portal	team	supabase	0	2026-05-28	main	playwright.config.ts,
muratariku0903/summary-training	team	descope	0	2025-12-20	develop	frontend/playwright.config.ts,
CzarX86/OgniStore	team	firebase	0	2025-11-07	main	web/cypress.json,
samayhuf-star/Adiology-23Dec-New	team	clerk+supabase	0	2026-01-18	main	playwright.lambdatest.config.ts,
lleonori/gymnasium-ionic	team	auth0	0	2026-07-22	main	playwright.config.ts,
NubiaGessi/cypress-realworld-app	team	auth0	0	2025-03-24	main	cypress.config.ts,
MarkKropf/payload-auth-workos	team	workos	6	2026-05-12	main	dev/playwright.config.ts,playwright.config.ts,
dot-do/registrars	team	workos	0	2025-10-06	main	playwright.config.ts,
swissmilo/bookrec	team	workos	0	2026-07-14	main	tests/playwright.config.ts,
steveruizok/globs	team	supabase	249	2026-05-24	main	cypress.config.js,cypress.json,
TravisJ33304/lithos	team	supabase	0	2026-06-02	main	client/playwright.config.ts,
sebkopsi/Programsko-inzenjerstvo	team	descope	0	2026-01-29	main	frontend/cypress.config.ts,
timfewi/freelancerino	team	clerk	1	2026-01-25	main	playwright.config.ts,
progress8080/next-fitness-dojo	team	kinde	1	2025-06-08	main	playwright.config.js,
JasperBerton/where2pee	team	auth0	0	2025-03-22	main	frontend-app/cypress.config.js,
cgallati/everything-zen	team	auth0	0	2026-03-08	main	apps/admin-ui-e2e/cypress.json,apps/public-ui-e2e/cypress.json,
MathiasVogel/hslu-techradar	team	auth0	0	2026-03-05	main	client/cypress.config.ts,
basilshine/cofi_client	team	auth0	0	2026-08-11	main	playwright.config.ts,
stianglomsrod/klar	team	supabase	0	2026-07-19	master	playwright.config.ts,
ubcdiscovery/ubc-discovery	team	firebase	0	2026-08-15	main	web/playwright.config.ts,
kelvinhe04/healthora	team	clerk	1	2026-08-11	main	frontend/playwright.config.ts,
caioquirino/fullstack_template	team	stytch	2	2025-06-30	main	apps/frontend-e2e/playwright.config.ts,
Abdul-Razack/ecommerce	team	workos	0	2026-08-14	main	playwright.config.ts,
yeshwanthreddymula15/auto	team	supabase	0	2025-06-11	main	tests/playwright.config.js,
VansRouges/RBAC	team	auth0	0	2025-08-24	main	auth0-rbac/cypress.config.js,
polubis/WebBlog	team	firebase	8	2025-03-21	main	cypress.config.js,
TICIANOTAUP12/gestiona-misan	team	supabase	0	2026-06-09	main	cypress.config.mjs,
